"GO Term","p-value (adjusted)","k (genes in cluster)","f (genes in category)","Genes in category from cluster"
"monoatomic cation transmembrane transport",5.82885120735658e-21,46,178,"YBL099W/YBL045C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120"
"ATP synthesis coupled electron transport",8.4419721395645e-21,23,36,"YDR178W/YDR529C/YEL039C/YEL024W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YJL166W/YJR048W/YKL148C/YKL141W/YLR395C/YML120C/YMR118C/YMR256C/YNL052W/YOR065W/YPR191W/Q0105/Q0120"
"mitochondrial ATP synthesis coupled electron transport",8.4419721395645e-21,23,36,"YDR178W/YDR529C/YEL039C/YEL024W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YJL166W/YJR048W/YKL148C/YKL141W/YLR395C/YML120C/YMR118C/YMR256C/YNL052W/YOR065W/YPR191W/Q0105/Q0120"
"inorganic ion transmembrane transport",9.91845457345566e-21,48,198,"YBL099W/YBL045C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR077C/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR002C/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120"
"monoatomic ion transmembrane transport",5.12968509154244e-20,46,188,"YBL099W/YBL045C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120"
"monoatomic cation transport",2.16708306264829e-18,47,214,"YBL099W/YBL045C/YBL030C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120"
"monoatomic ion transport",1.64406402281749e-17,48,234,"YBL099W/YBL045C/YBL030C/YBR039W/YBR296C/YBR298C/YDL004W/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YGL191W/YGL187C/YGR183C/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR121W/YKL217W/YKL016C/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR002C/YNR072W/YOL077W-A/YOR065W/YPL271W/YPL078C/YPL036W/YPR020W/YPR191W/Q0055/Q0105/Q0120"
"ATP biosynthetic process",4.12609140868064e-15,15,20,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YJL116C/YJR121W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"proton motive force-driven ATP synthesis",4.12609140868064e-15,15,20,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YJL116C/YJR121W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"purine nucleoside triphosphate biosynthetic process",6.88658011071534e-15,16,24,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"purine ribonucleoside triphosphate biosynthetic process",6.88658011071534e-15,16,24,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"ribonucleoside triphosphate biosynthetic process",2.29584491084648e-13,16,28,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"mitochondrial electron transport, ubiquinol to cytochrome c",1.24025517304643e-12,12,15,"YDR529C/YEL039C/YEL024W/YFR033C/YGR183C/YHR001W-A/YJL166W/YJR048W/YOR065W/YPR191W/Q0105/Q0120"
"transmembrane transport",1.59654641081776e-12,62,484,"YBL099W/YBL075C/YBL045C/YBL042C/YBL030C/YBR021W/YBR039W/YBR296C/YBR298C/YCL040W/YDL004W/YDR277C/YDR298C/YDR322C-A/YDR342C/YDR343C/YDR377W/YDR529C/YDR536W/YEL069C/YEL024W/YFL011W/YFR033C/YFR053C/YGL191W/YGL187C/YGR183C/YGR243W/YHR001W-A/YHR051W/YHR096C/YJL166W/YJR077C/YJR121W/YKL221W/YKL217W/YKL016C/YKR016W/YLR038C/YLR295C/YLR395C/YML120C/YML081C-A/YMR256C/YNL318C/YNL052W/YNR002C/YNR072W/YOL077W-A/YOR065W/YOR092W/YPL271W/YPL147W/YPL134C/YPL078C/YPL036W/YPR020W/YPR191W/YPR192W/Q0055/Q0105/Q0120"
"nucleoside triphosphate biosynthetic process",3.37054915347077e-12,16,32,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"purine nucleotide metabolic process",1.56881686752539e-10,29,140,"YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGR043C/YGR256W/YIL155C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML120C/YML081C-A/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPR020W"
"purine ribonucleoside triphosphate metabolic process",1.56881686752539e-10,19,58,"YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR516C/YFR053C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"purine ribonucleotide biosynthetic process",2.22376861975753e-10,17,46,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"ATP metabolic process",2.6981366388777e-10,18,53,"YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR516C/YFR053C/YJL116C/YJR121W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"purine nucleoside triphosphate metabolic process",2.80040605800404e-10,19,60,"YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR516C/YFR053C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"ribonucleoside triphosphate metabolic process",7.15714459806805e-10,19,63,"YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR516C/YFR053C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"purine-containing compound metabolic process",3.15276781143517e-09,32,190,"YAL054C/YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR148C/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGR043C/YGR244C/YGR256W/YIL155C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML120C/YML081C-A/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPR020W"
"nucleoside triphosphate metabolic process",6.76111595589824e-09,19,71,"YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR516C/YFR053C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"nucleotide metabolic process",6.76111595589824e-09,31,185,"YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL037C/YGR043C/YGR256W/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR295C/YML120C/YML081C-A/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPR020W"
"purine ribonucleotide metabolic process",8.10139202071643e-09,20,80,"YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"ribonucleotide biosynthetic process",2.11700352900288e-08,17,60,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"carbohydrate metabolic process",2.34015117088183e-08,37,265,"YBR105C/YBR298C/YBR299W/YCL040W/YDL246C/YDL085W/YDL049C/YDR516C/YEL070W/YEL011W/YER054C/YFR017C/YFR053C/YGR043C/YGR256W/YGR282C/YGR292W/YHL032C/YHR043C/YIL162W/YIL155C/YIL045W/YIL024C/YJR159W/YKR097W/YLR070C/YLR308W/YMR105C/YMR145C/YMR280C/YNL117W/YNR071C/YNR073C/YOL157C/YOR178C/YPL201C/YPR184W"
"nucleoside phosphate metabolic process",2.88499333267242e-08,35,243,"YAL054C/YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR148C/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL037C/YGR043C/YGR244C/YGR256W/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR295C/YML120C/YML081C-A/YMR105C/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPR020W"
"ribose phosphate biosynthetic process",9.85097266783956e-08,17,66,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"nucleobase-containing small molecule metabolic process",1.71155305621455e-07,35,260,"YAL054C/YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR148C/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL037C/YGR043C/YGR244C/YGR256W/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR295C/YML120C/YML081C-A/YMR105C/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPR020W"
"ribonucleotide metabolic process",1.77442570097713e-07,20,95,"YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"purine nucleotide biosynthetic process",2.41842501920229e-07,17,70,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"ribose phosphate metabolic process",6.11071411739337e-07,20,102,"YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"tricarboxylic acid cycle",8.91444304083315e-07,11,30,"YDR148C/YDR178W/YFR049W/YGR244C/YIL125W/YKL148C/YKL141W/YKL085W/YLL041C/YMR118C/YNL117W"
"mitochondrial electron transport, cytochrome c to oxygen",9.07595918997622e-07,8,14,"YEL039C/YGL191W/YGL187C/YHR051W/YJR048W/YLR395C/YMR256C/YNL052W"
"hexose transmembrane transport",1.3190366994264e-06,10,25,"YCL040W/YDR277C/YDR342C/YDR343C/YEL069C/YFL011W/YFR053C/YHR096C/YNL318C/YNR072W"
"monosaccharide transmembrane transport",1.3190366994264e-06,10,25,"YCL040W/YDR277C/YDR342C/YDR343C/YEL069C/YFL011W/YFR053C/YHR096C/YNL318C/YNR072W"
"carbohydrate transmembrane transport",1.34699065766184e-06,12,38,"YBR298C/YCL040W/YDR277C/YDR342C/YDR343C/YDR536W/YEL069C/YFL011W/YFR053C/YHR096C/YNL318C/YNR072W"
"carbohydrate transport",1.82774867593691e-06,12,39,"YBR298C/YCL040W/YDR277C/YDR342C/YDR343C/YDR536W/YEL069C/YFL011W/YFR053C/YHR096C/YNL318C/YNR072W"
"purine-containing compound biosynthetic process",2.72796152992823e-06,18,92,"YAL054C/YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"nucleotide biosynthetic process",2.72796152992823e-06,19,102,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YGL037C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"carbohydrate catabolic process",1.32704015175657e-05,18,102,"YBR299W/YCL040W/YDL246C/YDR516C/YFR017C/YFR053C/YGR292W/YHL032C/YIL162W/YIL155C/YIL024C/YJR159W/YLR070C/YLR308W/YMR105C/YNR071C/YOL157C/YPR184W"
"alditol metabolic process",1.58106278485453e-05,8,19,"YDL246C/YEL070W/YHL032C/YIL155C/YJR159W/YLR070C/YNR073C/YPL201C"
"alcohol catabolic process",3.30792760608994e-05,7,15,"YDL246C/YDR216W/YHL032C/YIL155C/YJR159W/YLR070C/YPL061W"
"nucleoside phosphate biosynthetic process",3.32523987767564e-05,20,131,"YAL054C/YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YGL037C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"fructose transmembrane transport",0.000139792991599917,7,18,"YDR342C/YDR343C/YEL069C/YFL011W/YFR053C/YHR096C/YNR072W"
"energy reserve metabolic process",0.000375801219288705,10,44,"YEL011W/YER054C/YER067W/YFR017C/YIL057C/YIL045W/YIL024C/YMR105C/YOR178C/YPR184W"
"glucose 6-phosphate metabolic process",0.000437124700128015,7,21,"YBR117C/YCL040W/YDR516C/YFR053C/YGR043C/YGR256W/YMR105C"
"carbohydrate derivative metabolic process",0.000642443692978107,31,313,"YBL099W/YBR039W/YBR117C/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGR043C/YGR256W/YHL032C/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR070C/YLR295C/YLR308W/YML081C-A/YMR101C/YMR105C/YOL077W-A/YPL271W/YPL078C/YPL057C/YPR020W"
"external encapsulating structure organization",0.000642443692978107,26,241,"YAL018C/YBL043W/YBR301W/YCL058C/YDL222C/YDL049C/YDR077W/YEL049W/YER150W/YGR282C/YGR294W/YHR021W-A/YHR139C/YHR185C/YJL116C/YKL163W/YKL096W-A/YKL096W/YLR037C/YLR308W/YNL194C/YOL161C/YOL109W/YOR092W/YOR255W/YPR030W"
"cell wall organization",0.000642443692978107,26,241,"YAL018C/YBL043W/YBR301W/YCL058C/YDL222C/YDL049C/YDR077W/YEL049W/YER150W/YGR282C/YGR294W/YHR021W-A/YHR139C/YHR185C/YJL116C/YKL163W/YKL096W-A/YKL096W/YLR037C/YLR308W/YNL194C/YOL161C/YOL109W/YOR092W/YOR255W/YPR030W"
"monosaccharide metabolic process",0.000648392828448584,14,88,"YBR105C/YCL040W/YDL246C/YDL085W/YDR516C/YFR053C/YHR043C/YJR159W/YKR097W/YLR070C/YMR105C/YMR145C/YMR280C/YNR071C"
"mannose transmembrane transport",0.000720472815963521,6,16,"YDR342C/YDR343C/YEL069C/YFL011W/YHR096C/YNR072W"
"organophosphate metabolic process",0.000720472815963521,38,423,"YAL054C/YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR148C/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL037C/YGR043C/YGR244C/YGR256W/YHL032C/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR070C/YLR295C/YML120C/YML081C-A/YMR105C/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPL057C/YPR020W"
"fungal-type cell wall organization",0.000747402120916764,22,189,"YAL018C/YBR301W/YDL222C/YDL049C/YDR077W/YEL049W/YER150W/YGR282C/YGR294W/YHR139C/YHR185C/YJL116C/YKL163W/YKL096W-A/YKL096W/YLR037C/YLR308W/YNL194C/YOL161C/YOL109W/YOR255W/YPR030W"
"glycogen biosynthetic process",0.000747402120916764,7,23,"YEL011W/YER054C/YFR017C/YIL045W/YMR105C/YOR178C/YPR184W"
"hexose metabolic process",0.00078117453871229,13,79,"YBR105C/YCL040W/YDL246C/YDL085W/YDR516C/YFR053C/YHR043C/YJR159W/YKR097W/YMR105C/YMR145C/YMR280C/YNR071C"
"cristae formation",0.00096674879221323,5,11,"YCL057C-A/YDR322C-A/YKR016W/YLR295C/YPR020W"
"polyol catabolic process",0.00096674879221323,5,11,"YDL246C/YHL032C/YIL155C/YJR159W/YLR070C"
"D-glucose transmembrane transport",0.00096674879221323,5,11,"YCL040W/YDR277C/YDR342C/YFR053C/YHR096C"
"glucose metabolic process",0.00135783733001037,11,62,"YBR105C/YCL040W/YDL085W/YDR516C/YFR053C/YHR043C/YKR097W/YMR105C/YMR145C/YMR280C/YNR071C"
"alcohol metabolic process",0.00154265466333109,17,133,"YDL246C/YDL085W/YDR216W/YEL070W/YGL256W/YGR087C/YHL032C/YIL155C/YJR159W/YKL150W/YLR070C/YMR015C/YMR101C/YMR145C/YNR073C/YPL201C/YPL061W"
"cell differentiation",0.00160466008620898,16,121,"YAL018C/YDL222C/YDL079C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"pyridine nucleotide metabolic process",0.001963167410636,13,87,"YBR117C/YCL040W/YDL085W/YDR516C/YFR053C/YGL037C/YGR043C/YGR256W/YIL155C/YML120C/YMR145C/YPL134C/YPL061W"
"NADH oxidation",0.00232721854984299,5,13,"YDL085W/YIL155C/YML120C/YMR145C/YPL134C"
"ascospore formation",0.00290879450386115,15,115,"YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"cellular developmental process",0.00295721313645392,16,128,"YAL018C/YDL222C/YDL079C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"fungal-type cell wall organization or biogenesis",0.00300641791912575,22,210,"YAL018C/YBR301W/YDL222C/YDL049C/YDR077W/YEL049W/YER150W/YGR282C/YGR294W/YHR139C/YHR185C/YJL116C/YKL163W/YKL096W-A/YKL096W/YLR037C/YLR308W/YNL194C/YOL161C/YOL109W/YOR255W/YPR030W"
"cell development",0.00308191230537656,15,116,"YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"carbohydrate biosynthetic process",0.00321632501437908,13,92,"YBR105C/YDL049C/YEL011W/YER054C/YFR017C/YIL045W/YKR097W/YLR070C/YMR105C/YMR280C/YOR178C/YPL201C/YPR184W"
"ethanol metabolic process",0.00322553232357754,5,14,"YDL085W/YDR216W/YGR087C/YMR145C/YPL061W"
"sexual sporulation",0.0038893962748512,15,119,"YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"sexual sporulation resulting in formation of a cellular spore",0.0038893962748512,15,119,"YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"cell wall organization or biogenesis",0.0048303162209017,26,278,"YAL018C/YBL043W/YBR301W/YCL058C/YDL222C/YDL049C/YDR077W/YEL049W/YER150W/YGR282C/YGR294W/YHR021W-A/YHR139C/YHR185C/YJL116C/YKL163W/YKL096W-A/YKL096W/YLR037C/YLR308W/YNL194C/YOL161C/YOL109W/YOR092W/YOR255W/YPR030W"
"nicotinamide nucleotide metabolic process",0.00580243136972154,12,86,"YBR117C/YCL040W/YDL085W/YDR516C/YFR053C/YGR043C/YGR256W/YIL155C/YML120C/YMR145C/YPL134C/YPL061W"
